Coin Name,Crypto Filter,Date,Close**,High,Low,Market Cap,Open*,Volume
Dogecoin - Doge,False,3/5/2023,0.07479,0.07592,0.07442,9923061954,0.07456,215772335
Dogecoin - Doge,False,3/6/2023,0.0748,0.07506,0.07355,9924407557,0.07479,274994083
Dogecoin - Doge,False,3/7/2023,0.07405,0.07583,0.07303,9823982587,0.0748,309277502
Dogecoin - Doge,False,3/8/2023,0.07113,0.07424,0.07077,9436859932,0.07405,321627782
Dogecoin - Doge,False,3/9/2023,0.06599,0.0722,0.06463,8754591056,0.07113,523758954
Dogecoin - Doge,False,3/10/2023,0.06583,0.06607,0.06302,8734127334,0.066,475760293
Dogecoin - Doge,False,3/11/2023,0.06659,0.0682,0.06445,8835092065,0.06583,449044632
Dogecoin - Doge,False,3/12/2023,0.071,0.07125,0.06607,9419770532,0.06658,375272678
Dogecoin - Doge,False,3/13/2023,0.07304,0.07373,0.06851,9690358173,0.071,537268873
Dogecoin - Doge,False,3/14/2023,0.07479,0.07764,0.07178,9922056499,0.07304,652033915
Dogecoin - Doge,False,3/15/2023,0.06987,0.07606,0.06814,9269225080,0.0748,528466415
Dogecoin - Doge,False,3/16/2023,0.07272,0.07348,0.06925,9647612830,0.06988,326147102
Dogecoin - Doge,False,3/17/2023,0.07651,0.0773,0.07181,10150506287,0.07273,485591017
Dogecoin - Doge,False,3/18/2023,0.07305,0.07876,0.07295,9691534500,0.07651,517840653
Dogecoin - Doge,False,3/19/2023,0.07481,0.0766,0.07304,9925476913,0.07304,338882489
Dogecoin - Doge,False,3/20/2023,0.07149,0.07561,0.07102,9484198878,0.07481,409238948
Dogecoin - Doge,False,3/21/2023,0.07689,0.07748,0.07086,10201528051,0.07149,631254174
Dogecoin - Doge,False,3/22/2023,0.074,0.07764,0.07213,9817491556,0.07687,693511781
Dogecoin - Doge,False,3/23/2023,0.07741,0.07893,0.0733,10270276504,0.074,637122733
Dogecoin - Doge,False,3/24/2023,0.07468,0.07749,0.07339,9907836546,0.0774,396748009
Dogecoin - Doge,False,3/25/2023,0.07404,0.07591,0.07296,9823505288,0.07468,286831067
Dogecoin - Doge,False,3/26/2023,0.07442,0.07538,0.07372,9872998520,0.07406,228916506
Dogecoin - Doge,False,3/27/2023,0.07289,0.07583,0.07176,9670972505,0.07443,435284210
Dogecoin - Doge,False,3/28/2023,0.07382,0.07392,0.07194,9794188582,0.0729,276514415
Dogecoin - Doge,False,3/29/2023,0.07563,0.07673,0.07364,10033549236,0.07382,423884022
Dogecoin - Doge,False,3/30/2023,0.07424,0.07664,0.07368,10300573896,0.07564,372289117
Dogecoin - Doge,False,3/31/2023,0.07703,0.07772,0.07381,10688721915,0.07426,378314248
Dogecoin - Doge,False,4/1/2023,0.08405,0.08528,0.07614,11663497828,0.07702,933070185
Dogecoin - Doge,False,4/2/2023,0.07909,0.08528,0.07785,10975862483,0.08186,929778146
Dogecoin - Doge,False,4/3/2023,0.09608,0.1026,0.07663,13334922678,0.07909,3497240136
Dogecoin - Doge,False,4/4/2023,0.09516,0.1025,0.09287,13208604269,0.09608,3096545498
Dogecoin - Doge,False,4/5/2023,0.09282,0.09894,0.09208,12884660001,0.09517,1529520651
Dogecoin - Doge,False,4/6/2023,0.08541,0.09285,0.08541,11857921068,0.09282,1410995902
Dogecoin - Doge,False,4/7/2023,0.08246,0.0861,0.08189,11448591065,0.08544,858234171
Ethereum - ETH,False,1/1/2022,3769.7,3769.92,3682.29,448537615143,3683.05,9776191466
Ethereum - ETH,False,1/2/2022,3829.57,3836.16,3727.36,455713570381,3769.3,9881471548
Ethereum - ETH,False,1/3/2022,3761.38,3836.2,3698.05,447650792404,3829.54,12080777893
Ethereum - ETH,False,1/4/2022,3794.06,3876.79,3723.35,451591466825,3761.36,14030925983
Ethereum - ETH,False,1/5/2022,3550.39,3842.06,3456.75,422636379036,3794.27,18061338502
Ethereum - ETH,False,1/6/2022,3418.41,3549.71,3335.38,406971721364,3549.71,24293791313
Ethereum - ETH,False,1/7/2022,3193.21,3420.46,3117.38,380204321962,3417.84,24494179209
Ethereum - ETH,False,1/8/2022,3091.97,3240.3,3020.88,368192421487,3193.5,16037732700
Ethereum - ETH,False,1/9/2022,3157.75,3206.79,3075.91,376068612894,3091.7,12334683863
Ethereum - ETH,False,1/10/2022,3083.1,3177.21,2947.68,367219283311,3157.57,19535744145
Ethereum - ETH,False,1/11/2022,3238.11,3247.51,3061.14,385726806148,3082.99,15211447193
Ethereum - ETH,False,1/12/2022,3372.26,3401.22,3216.72,401752380546,3238.45,16662871689
Ethereum - ETH,False,1/13/2022,3248.29,3396.97,3247.92,387027270412,3372.1,15294466275
Ethereum - ETH,False,1/14/2022,3310,3330.77,3203.82,394425210962,3248.65,13562957230
Ethereum - ETH,False,1/15/2022,3330.53,3364.54,3278.67,396916629873,3309.84,9619999078
Ethereum - ETH,False,1/16/2022,3350.92,3376.4,3291.56,399392136112,3330.39,9505934874
Ethereum - ETH,False,1/17/2022,3212.3,3355.82,3157.22,382914238639,3350.95,12344309617
Ethereum - ETH,False,1/18/2022,3164.03,3236.02,3096.12,377202294416,3212.29,13024154091
Ethereum - ETH,False,1/19/2022,3095.83,3171.16,3055.21,369113617589,3163.85,13187424144
Ethereum - ETH,False,1/20/2022,3001.12,3265.34,3000.91,357862901302,3095.27,10645922764
Ethereum - ETH,False,1/21/2022,2557.93,3029.08,2496.81,305050189407,3002.96,26796291874
Ethereum - ETH,False,1/22/2022,2405.18,2615.25,2330.25,286866655647,2561.15,27369692036
Ethereum - ETH,False,1/23/2022,2535.04,2542.14,2381.52,302389263381,2406.92,16481489511
Ethereum - ETH,False,1/24/2022,2440.35,2537.21,2172.3,291127719901,2535.89,28220804648
Ethereum - ETH,False,1/25/2022,2455.93,2498.51,2359.38,293019902304,2440.39,16179776932
Ethereum - ETH,False,1/26/2022,2468.03,2705.78,2417.68,294496473175,2455.58,21229909340
Ethereum - ETH,False,1/27/2022,2423,2510.45,2328.45,289156264094,2467.19,16126522783
Ethereum - ETH,False,1/28/2022,2547.09,2548.78,2367.83,303999533601,2421.65,14666227351
Ethereum - ETH,False,1/29/2022,2597.08,2627.61,2526.99,310001494765,2546.59,11172062661
Ethereum - ETH,False,1/30/2022,2603.47,2631.41,2550.46,310798780839,2598.56,9501221177
Ethereum - ETH,False,1/31/2022,2688.28,2697.74,2489.07,320959888865,2603.26,13778234614
Ethereum - ETH,False,2/1/2022,2792.12,2802.32,2682.62,333395296200,2687.9,13194846235
Ethereum - ETH,False,2/2/2022,2682.85,2802.21,2630.12,320384932826,2791.96,13876301217
Ethereum - ETH,False,2/3/2022,2679.16,2712.48,2587.78,319980125796,2682.23,12755505065
Ethereum - ETH,False,2/4/2022,2983.59,2983.59,2675.44,356379709501,2681.06,18987223729
Ethereum - ETH,False,2/5/2022,3014.65,3054.13,2966.78,360130344738,2984.45,13102093957
Ethereum - ETH,False,2/6/2022,3057.48,3061.26,2965.43,365288302067,3014.96,9466018022
Ethereum - ETH,False,2/7/2022,3142.47,3182.53,3002.93,375485569686,3057.42,15197063785
Ethereum - ETH,False,2/8/2022,3122.61,3219.47,3038.38,373154427925,3143.01,17136080906
Ethereum - ETH,False,2/9/2022,3239.46,3263.16,3063.16,387161915316,3121.18,13951308490
Ethereum - ETH,False,2/10/2022,3077.48,3271.32,3070.38,367845386121,3240.11,18629485080
Ethereum - ETH,False,2/11/2022,2927.38,3127.45,2888.71,349944259218,3077.41,16043881065
Ethereum - ETH,False,2/12/2022,2917.36,2980.08,2870.18,348785733007,2927.39,11254355757
Ethereum - ETH,False,2/13/2022,2883.46,2947.78,2845.4,344772260795,2916.79,9054963563
Ethereum - ETH,False,2/14/2022,2933.48,2957.96,2840.26,350792159064,2880.19,12164552172
