,Date,Day,Month,Quarter,CSI,gallup_banks,gallup_bigbiz,gallup_police,gallup_pres,CPI,GDP
1119,2016-12-04,6,12,4.0,98.22903225806452,29.136986301369863,19.28219178082192,56.42739726027397,34.29041095890411,2.138709677419355,1.7441401639344263
1120,2016-12-05,0,12,4.0,98.23870967741935,29.15068493150685,19.29041095890411,56.43013698630137,34.27945205479452,2.1516129032258067,1.7413016393442624
1121,2016-12-06,1,12,4.0,98.2483870967742,29.164383561643834,19.2986301369863,56.43287671232877,34.26849315068493,2.164516129032258,1.7384631147540985
1122,2016-12-07,2,12,4.0,98.25806451612904,29.17808219178082,19.306849315068494,56.43561643835616,34.25753424657534,2.17741935483871,1.7356245901639344
1123,2016-12-08,3,12,4.0,98.26774193548387,29.19178082191781,19.315068493150683,56.43835616438356,34.24657534246575,2.1903225806451614,1.7327860655737706
1124,2016-12-09,4,12,4.0,98.27741935483871,29.205479452054796,19.323287671232876,56.441095890410956,34.23561643835617,2.203225806451613,1.7299475409836065
1125,2016-12-10,5,12,4.0,98.28709677419356,29.21917808219178,19.33150684931507,56.443835616438356,34.224657534246575,2.2161290322580647,1.7271090163934426
1126,2016-12-11,6,12,4.0,98.29677419354839,29.232876712328768,19.339726027397262,56.446575342465756,34.21369863013699,2.229032258064516,1.7242704918032787
1127,2016-12-12,0,12,4.0,98.30645161290323,29.246575342465754,19.34794520547945,56.44931506849315,34.202739726027396,2.241935483870968,1.7214319672131149
1128,2016-12-13,1,12,4.0,98.31612903225806,29.26027397260274,19.356164383561644,56.45205479452055,34.19178082191781,2.2548387096774194,1.718593442622951
1129,2016-12-14,2,12,4.0,98.3258064516129,29.273972602739725,19.364383561643834,56.45479452054794,34.18082191780822,2.267741935483871,1.715754918032787
1130,2016-12-15,3,12,4.0,98.33548387096775,29.28767123287671,19.372602739726027,56.45753424657534,34.16986301369863,2.2806451612903227,1.712916393442623
1131,2016-12-16,4,12,4.0,98.34516129032258,29.301369863013697,19.38082191780822,56.46027397260274,34.15890410958904,2.293548387096774,1.710077868852459
1132,2016-12-17,5,12,4.0,98.35483870967742,29.315068493150683,19.389041095890413,56.463013698630135,34.14794520547945,2.306451612903226,1.707239344262295
1133,2016-12-18,6,12,4.0,98.36451612903225,29.328767123287673,19.397260273972602,56.465753424657535,34.136986301369866,2.3193548387096774,1.7044008196721312
1134,2016-12-19,0,12,4.0,98.3741935483871,29.34246575342466,19.405479452054795,56.46849315068493,34.12602739726027,2.332258064516129,1.7015622950819673
1135,2016-12-20,1,12,4.0,98.38387096774194,29.356164383561644,19.413698630136984,56.47123287671233,34.11506849315069,2.3451612903225807,1.6987237704918032
1136,2016-12-21,2,12,4.0,98.39354838709677,29.36986301369863,19.421917808219177,56.47397260273973,34.104109589041094,2.358064516129032,1.6958852459016394
