Date (Doge Analysis F.Csv),Sentiment (Doge Analysis F.Csv),Close Price,Delta Close Price,F1,Vader Prediction (Doge Analysis F.Csv)
12/23/2021,positive,0.185105,6.4,354,0.15916
12/24/2021,neutral,0.18633,0.7,355,0.025266667
12/25/2021,neutral,0.19103,2.5,356,0
12/26/2021,positive,0.18988,-0.6,357,0.1468
12/27/2021,neutral,0.187955,-1,358,0.02453
12/28/2021,negative,0.173825,-8.1,359,-0.05876
12/29/2021,neutral,0.168055,-3.4,360,0.01444
12/30/2021,positive,0.171075,1.8,361,0.131133333
12/31/2021,neutral,0.17026,-0.5,362,0.023177778
1/1/2022,neutral,0.17322,1.7,363,0
1/2/2022,positive,0.17432,0.6,364,0.119016667
1/3/2022,positive,0.170355,-2.3,365,0.142177778
1/4/2022,neutral,0.16838,-1.2,366,0.01395
1/5/2022,neutral,0.15896,-5.9,367,0.04404
1/6/2022,neutral,0.159985,0.6,368,0.02482
1/7/2022,positive,0.15509,-3.2,369,0.069925
1/8/2022,positive,0.150965,-2.7,370,0.051033333
1/9/2022,negative,0.150595,-0.2,371,-0.35015
1/10/2022,positive,0.143075,-5.3,372,0.1917125
1/11/2022,positive,0.153865,7,373,0.150588889
1/12/2022,neutral,0.16286,5.5,374,0.025144444
1/13/2022,positive,0.171605,5.1,375,0.105544444
1/14/2022,positive,0.183175,6.3,376,0.198211111
1/15/2022,positive,0.184595,0.8,377,0.235977778
1/16/2022,positive,0.176715,-4.5,378,0.17913
1/17/2022,positive,0.170955,-3.4,379,0.090522222
1/18/2022,positive,0.16509,-3.6,380,0.178566667
1/19/2022,positive,0.163175,-1.2,381,0.10558
1/20/2022,neutral,0.15532,-5.1,382,0.04018
1/21/2022,neutral,0.142005,-9.4,383,-0.03956
1/22/2022,positive,0.133265,-6.6,384,0.2150875
1/23/2022,negative,0.141885,6.1,385,-0.291075
1/24/2022,positive,0.137405,-3.3,386,0.0522
1/25/2022,positive,0.142805,3.8,387,0.22346
1/26/2022,positive,0.14328,0.3,388,0.173444444
1/27/2022,positive,0.141515,-1.2,389,0.13179
1/28/2022,positive,0.141515,0,390,0.082522222
1/29/2022,neutral,0.14306,1.1,391,0.032771429
1/30/2022,positive,0.13921,-2.8,392,0.175833333
1/31/2022,neutral,0.141645,1.7,393,0.016633333
2/1/2022,neutral,0.142425,0.5,394,-0.005790000
2/2/2022,positive,0.137055,-3.9,395,0.142844444
2/3/2022,positive,0.138085,0.7,396,0.24492
2/4/2022,neutral,0.147935,6.7,397,0.04218
2/5/2022,positive,0.146895,-0.7,398,0.223783333
2/6/2022,positive,0.15404,4.6,399,0.60835
2/7/2022,positive,0.165375,6.9,400,0.05505
2/8/2022,positive,0.1583,-4.5,401,0.13336
2/9/2022,neutral,0.159495,0.7,402,-0.04515
2/10/2022,positive,0.151575,-5.2,403,0.16279
2/11/2022,neutral,0.14475,-4.7,404,-0.001322222
2/12/2022,positive,0.144435,-0.2,405,0.095314286
2/13/2022,positive,0.148215,2.6,406,0.2005
2/14/2022,positive,0.14568,-1.7,407,0.0500125
2/15/2022,positive,0.151735,4,408,0.20137
2/16/2022,neutral,0.14877,-2,409,0.0161
2/17/2022,neutral,0.138395,-7.5,410,0.02306
2/18/2022,neutral,0.138535,0.1,411,0.035685714
2/19/2022,neutral,0.14094,1.7,412,0.020016667
2/20/2022,negative,0.13669,-3.1,413,-0.067357143
2/21/2022,positive,0.12827,-6.6,414,0.14654
2/22/2022,neutral,0.131365,2.4,415,0.00305
2/23/2022,neutral,0.12738,-3.1,416,-0.030022222
2/24/2022,negative,0.124105,-2.6,417,-0.06527
2/25/2022,positive,0.127715,2.8,418,0.2844
2/26/2022,negative,0.127765,0,419,-0.236533333
2/27/2022,neutral,0.12298,-3.9,420,0
2/28/2022,neutral,0.13351,7.9,421,0.04395
3/1/2022,positive,0.13417,0.5,422,0.175822222
3/2/2022,positive,0.133105,-0.8,423,0.2079
3/3/2022,positive,0.129675,-2.6,424,0.1133
3/4/2022,positive,0.122595,-5.8,425,0.15442
3/5/2022,positive,0.12496,1.9,426,0.14995
3/6/2022,positive,0.12066,-3.6,427,0.0772
3/7/2022,positive,0.116765,-3.3,428,0.07937
3/8/2022,neutral,0.11708,0.3,429,-0.04019
3/9/2022,positive,0.121515,3.6,430,0.094222222
3/10/2022,neutral,0.116875,-4,431,-0.03754
3/11/2022,positive,0.115455,-1.2,432,0.261244444
3/12/2022,neutral,0.114805,-0.6,433,0.036814286
