Date (Doge Analysis F.Csv),Sentiment (Doge Analysis F.Csv),Close Price,Delta Close Price,F1,Vader Prediction (Doge Analysis F.Csv)
4/17/2022,positive,0.13925,-3.1,469,0.09837
4/18/2022,neutral,0.14017,0.7,470,0.02862
4/19/2022,negative,0.14257,1.7,471,-0.130555556
4/20/2022,positive,0.14073,-1.3,472,0.22812
4/21/2022,positive,0.13634,-3.2,473,0.15464
4/22/2022,positive,0.136375,0,474,0.12809
4/23/2022,neutral,0.13388,-1.9,475,-0.028788889
4/24/2022,neutral,0.13179,-1.6,476,0.021225
4/25/2022,neutral,0.158145,16.7,477,0.02803
4/26/2022,positive,0.13757,-15,478,0.14867
4/27/2022,positive,0.14001,1.7,479,0.066
4/28/2022,neutral,0.137515,-1.8,480,0.00483
4/29/2022,positive,0.134937185,-1.9,481,0.2805
4/30/2022,positive,0.127506175,-5.8,482,0.146255556
5/1/2022,positive,0.132674865,3.9,483,0.086242857
5/2/2022,positive,0.130677725,-1.5,484,0.1231
5/3/2022,neutral,0.12941969,-1,485,0.009744444
5/4/2022,neutral,0.135924875,4.8,486,0.01731
5/5/2022,positive,0.12810285,-6.1,487,0.16498
5/6/2022,positive,0.12774423,-0.3,488,0.178633333
5/7/2022,neutral,0.1274357,-0.2,489,-0.043925
5/8/2022,positive,0.12410661,-2.7,490,0.1024375
5/9/2022,negative,0.101857415,-21.8,491,-0.10818
5/10/2022,neutral,0.108032345,5.7,492,0.03504
5/11/2022,neutral,0.084901835,-27.2,493,-0.04123
5/12/2022,negative,0.082400935,-3,494,-0.06247
5/13/2022,positive,0.088005085,6.4,495,0.09876
5/14/2022,neutral,0.089324255,1.5,496,-0.0437
