,date,vader_prediction
544,2022-09-19 02:59:33+00:00,positive
545,2022-09-21 02:58:45+00:00,neutral
546,2022-09-21 02:57:41+00:00,neutral
547,2022-09-21 02:50:11+00:00,neutral
548,2022-09-21 02:49:36+00:00,neutral
549,2022-09-21 02:46:23+00:00,neutral
550,2022-09-21 02:41:37+00:00,negative
551,2022-09-21 02:36:34+00:00,negative
552,2022-09-21 01:26:11+00:00,neutral
553,2022-09-20 16:42:31+00:00,neutral
554,2022-09-20 12:50:21+00:00,positive
555,2022-09-20 05:12:15+00:00,positive
556,2022-09-20 05:09:15+00:00,neutral
557,2022-09-20 05:07:23+00:00,neutral
558,2022-09-19 22:25:02+00:00,neutral
559,2022-09-19 22:23:17+00:00,neutral
560,2022-09-19 22:04:59+00:00,neutral
561,2022-09-19 20:57:53+00:00,positive
562,2022-09-19 20:55:46+00:00,positive
563,2022-09-19 18:56:02+00:00,positive
564,2022-09-19 18:53:02+00:00,neutral
565,2022-09-19 18:30:43+00:00,negative
566,2022-09-21 21:05:20+00:00,neutral
567,2022-09-21 21:03:36+00:00,neutral
568,2022-09-21 21:02:24+00:00,neutral
569,2022-09-21 17:02:32+00:00,positive
570,2022-09-21 16:13:42+00:00,neutral
571,2022-09-21 16:09:38+00:00,neutral
572,2022-09-21 16:04:36+00:00,positive
573,2022-09-21 15:59:15+00:00,positive
574,2022-09-21 15:17:17+00:00,positive
575,2022-09-21 15:09:59+00:00,positive
576,2022-09-21 15:00:26+00:00,positive
577,2022-09-21 14:55:11+00:00,positive
578,2022-09-21 14:36:49+00:00,neutral
579,2022-09-21 14:26:17+00:00,positive
580,2022-09-21 14:02:11+00:00,positive
581,2022-09-21 13:55:04+00:00,neutral
582,2022-09-21 12:56:02+00:00,neutral
583,2022-09-21 12:48:03+00:00,neutral
584,2022-09-21 12:34:25+00:00,neutral
585,2022-09-21 12:30:46+00:00,neutral
586,2022-09-21 12:22:06+00:00,neutral
587,2022-09-21 12:18:01+00:00,neutral
588,2022-09-21 03:05:09+00:00,neutral
589,2022-09-23 04:19:01+00:00,negative
590,2022-09-23 04:16:45+00:00,neutral
591,2022-09-23 02:59:15+00:00,positive
592,2022-09-22 20:33:13+00:00,neutral
593,2022-09-22 19:09:40+00:00,neutral
594,2022-09-22 17:39:58+00:00,neutral
595,2022-09-22 16:29:10+00:00,neutral
596,2022-09-22 16:27:30+00:00,neutral
597,2022-09-22 15:24:48+00:00,positive
598,2022-09-22 15:16:36+00:00,neutral
599,2022-09-24 10:43:01+00:00,neutral
600,2022-09-23 18:30:18+00:00,neutral
601,2022-09-26 00:25:50+00:00,positive
602,2022-09-25 19:04:39+00:00,neutral
603,2022-10-03 16:44:57+00:00,positive
604,2022-09-27 05:04:18+00:00,neutral
605,2022-09-28 03:05:06+00:00,positive
606,2022-09-28 03:02:36+00:00,positive
607,2022-09-28 02:59:44+00:00,positive
608,2022-09-27 23:20:31+00:00,neutral
609,2022-09-27 23:03:16+00:00,neutral
610,2022-09-27 23:01:19+00:00,neutral
611,2022-09-27 22:57:09+00:00,neutral
612,2022-09-27 22:25:44+00:00,neutral
613,2022-09-27 22:25:13+00:00,positive
614,2022-09-27 22:14:36+00:00,positive
615,2022-09-27 16:50:00+00:00,positive
616,2022-09-27 14:51:58+00:00,neutral
617,2022-09-29 07:02:13+00:00,positive
618,2022-09-29 06:52:37+00:00,positive
619,2022-09-29 06:51:03+00:00,positive
620,2022-09-28 23:47:46+00:00,neutral
